model,dataset,optim_level,accuracy,precision,recall,f1,mcc,fpr
aixcoder-7b,source_code_mix_pseudo_code,O0,0.8071979434447301,0.8194444444444444,0.7065868263473054,0.7588424437299035,0.6042712441866833,0.3466666666204445
aixcoder-7b,source_code_mix_pseudo_code,O1,0.9330543933054394,0.9504950495049505,0.897196261682243,0.9230769230769231,0.8650321869315882,0.3124999998046875
aixcoder-7b,source_code_mix_pseudo_code,O2,0.9770114942528736,0.9571428571428572,0.9852941176470589,0.9710144927536232,0.9522480925316115,0.7499999981250001
aixcoder-7b,source_code_mix_pseudo_code,O3,0.9724770642201835,0.9775280898876404,0.9560439560439561,0.9666666666666667,0.9434029978093964,0.33333333277777777
aixcoder-7b,source_code_mix_pseudo_code,Os,0.9605263157894737,0.93,0.9789473684210527,0.9538461538461539,0.9203260291874831,0.7777777769135802
aixcoder-7b,source_code_mix_pseudo_code,all,0.9118589743589743,0.9146825396825397,0.8731060606060606,0.8934108527131783,0.818987007992938,0.39090909087355374
codellama-7b,source_code_mix_pseudo_code,O0,0.7917737789203085,0.8071428571428572,0.6766467065868264,0.7361563517915309,0.5723789365173249,0.3333333332921811
codellama-7b,source_code_mix_pseudo_code,O1,0.9539748953974896,0.9897959183673469,0.9065420560747663,0.9463414634146341,0.9088656104910502,0.09090909082644627
codellama-7b,source_code_mix_pseudo_code,O2,0.9712643678160919,0.9436619718309859,0.9852941176470589,0.9640287769784173,0.9407311567722948,0.7999999984
codellama-7b,source_code_mix_pseudo_code,O3,0.9357798165137615,0.9425287356321839,0.9010989010989011,0.9213483146067416,0.8677565521935099,0.3571428568877551
codellama-7b,source_code_mix_pseudo_code,Os,0.9517543859649122,0.9375,0.9473684210526315,0.9424083769633508,0.900937462695559,0.5454545449586776
codellama-7b,source_code_mix_pseudo_code,all,0.9022435897435898,0.9126016260162602,0.8503787878787878,0.8803921568627451,0.7993328142967351,0.35245901636455257
dsc-1.3b,source_code_mix_pseudo_code,O0,0.7789203084832905,0.7872340425531915,0.6646706586826348,0.7207792207792207,0.5452484326456859,0.34883720926176315
dsc-1.3b,source_code_mix_pseudo_code,O1,0.895397489539749,0.9183673469387755,0.8411214953271028,0.8780487804878049,0.7891103796214332,0.319999999872
dsc-1.3b,source_code_mix_pseudo_code,O2,0.9482758620689655,0.9402985074626866,0.9264705882352942,0.9333333333333333,0.8911488585363716,0.4444444439506172
dsc-1.3b,source_code_mix_pseudo_code,O3,0.8899082568807339,0.8764044943820225,0.8571428571428571,0.8666666666666667,0.7730747856347359,0.4583333331423611
dsc-1.3b,source_code_mix_pseudo_code,Os,0.9122807017543859,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.8195488721804511,0.49999999975
dsc-1.3b,source_code_mix_pseudo_code,all,0.8685897435897436,0.8714285714285714,0.8087121212121212,0.8388998035363457,0.7296483149219614,0.38414634143999105
dsc-7b,source_code_mix_pseudo_code,O0,0.7789203084832905,0.7647058823529411,0.7005988023952096,0.73125,0.5455915199938113,0.41860465111411577
dsc-7b,source_code_mix_pseudo_code,O1,0.8786610878661087,0.90625,0.8130841121495327,0.8571428571428571,0.7555696955885524,0.31034482747919145
dsc-7b,source_code_mix_pseudo_code,O2,0.8908045977011494,0.8266666666666667,0.9117647058823529,0.8671328671328671,0.7775063949111524,0.6842105259556787
dsc-7b,source_code_mix_pseudo_code,O3,0.8669724770642202,0.8604651162790697,0.8131868131868132,0.8361581920903954,0.7251588956573661,0.41379310330558855
dsc-7b,source_code_mix_pseudo_code,Os,0.9210526315789473,0.9052631578947369,0.9052631578947369,0.9052631578947369,0.837593984962406,0.4999999997222222
dsc-7b,source_code_mix_pseudo_code,all,0.8549679487179487,0.8435643564356435,0.8068181818181818,0.8247821878025169,0.7016744761695828,0.436464088373676
llm4decompile-1.3b-v2,source_code_mix_pseudo_code,O0,0.7429305912596401,0.7218543046357616,0.6526946107784432,0.6855345911949685,0.470774129552568,0.419999999958
llm4decompile-1.3b-v2,source_code_mix_pseudo_code,O1,0.9372384937238494,0.9693877551020408,0.8878504672897196,0.926829268292683,0.8746498302425881,0.19999999986666667
llm4decompile-1.3b-v2,source_code_mix_pseudo_code,O2,0.9425287356321839,0.9393939393939394,0.9117647058823529,0.9253731343283582,0.8789199350594912,0.3999999996
llm4decompile-1.3b-v2,source_code_mix_pseudo_code,O3,0.963302752293578,0.9368421052631579,0.978021978021978,0.956989247311828,0.9256658750380315,0.7499999990624999
