model,dataset,optim_level,accuracy,precision,recall,f1,mcc,fpr
aixcoder-7b,assembly_code,O0,0.6066838046272494,0.57,0.3413173652694611,0.42696629213483145,0.16720212935248777,0.2810457516156179
aixcoder-7b,assembly_code,O1,0.5983263598326359,0.5662650602409639,0.4392523364485981,0.49473684210526314,0.17392303990129562,0.3749999999609375
aixcoder-7b,assembly_code,O2,0.6264367816091954,0.5205479452054794,0.5588235294117647,0.5390070921985816,0.22606207073039983,0.5384615383786983
aixcoder-7b,assembly_code,O3,0.6238532110091743,0.5517241379310345,0.5274725274725275,0.5393258426966292,0.2219274965796636,0.4756097560395598
aixcoder-7b,assembly_code,Os,0.6622807017543859,0.6363636363636364,0.4421052631578947,0.5217391304347826,0.28443677839597487,0.3116883116478327
aixcoder-7b,assembly_code,all,0.6209935897435898,0.5672371638141809,0.4393939393939394,0.4951974386339381,0.20373120238843617,0.37420718815276516
aixcoder-7b,pseudo_code,O0,0.7095115681233933,0.7076923076923077,0.5508982035928144,0.6195286195286195,0.39845995343893936,0.3362831858109484
aixcoder-7b,pseudo_code,O1,0.9372384937238494,0.9693877551020408,0.8878504672897196,0.926829268292683,0.8746498302425881,0.19999999986666667
aixcoder-7b,pseudo_code,O2,0.9540229885057471,0.9285714285714286,0.9558823529411765,0.9420289855072463,0.9042077422560242,0.6249999992187499
aixcoder-7b,pseudo_code,O3,0.944954128440367,0.9438202247191011,0.9230769230769231,0.9333333333333333,0.8866269270845095,0.41666666631944443
aixcoder-7b,pseudo_code,Os,0.9210526315789473,0.9052631578947369,0.9052631578947369,0.9052631578947369,0.837593984962406,0.4999999997222222
aixcoder-7b,pseudo_code,all,0.8669871794871795,0.8755186721991701,0.7992424242424242,0.8356435643564356,0.7264457425365279,0.36144578311075626
codellama-7b,assembly_code,O0,0.6375321336760925,0.6120689655172413,0.4251497005988024,0.5017667844522968,0.24068606886439006,0.31914893614757806
codellama-7b,assembly_code,O1,0.6401673640167364,0.6235294117647059,0.4953271028037383,0.5520833333333334,0.2627016330299547,0.37209302321254734
codellama-7b,assembly_code,O2,0.7068965517241379,0.6164383561643836,0.6617647058823529,0.6382978723404256,0.3931394992192512,0.5490196077354863
codellama-7b,assembly_code,O3,0.6513761467889908,0.6,0.4945054945054945,0.5421686746987951,0.2681162449877985,0.39473684205332416
codellama-7b,assembly_code,Os,0.5877192982456141,0.5074626865671642,0.35789473684210527,0.41975308641975306,0.11880603403725788,0.35106382974988687
codellama-7b,assembly_code,all,0.6410256410256411,0.5961538461538461,0.4696969696969697,0.5254237288135594,0.24771684715343115,0.3749999999916295
codellama-7b,pseudo_code,O0,0.7146529562982005,0.7028985507246377,0.5808383233532934,0.6360655737704918,0.4098471959584987,0.3693693693360929
codellama-7b,pseudo_code,O1,0.8619246861924686,0.8775510204081632,0.8037383177570093,0.8390243902439024,0.7206788191245092,0.3636363635261708
codellama-7b,pseudo_code,O2,0.9080459770114943,0.8939393939393939,0.8676470588235294,0.8805970149253731,0.8060951404402762,0.4374999997265625
codellama-7b,pseudo_code,O3,0.8623853211009175,0.8588235294117647,0.8021978021978022,0.8295454545454546,0.7155539248858547,0.3999999998666667
codellama-7b,pseudo_code,Os,0.868421052631579,0.8823529411764706,0.7894736842105263,0.8333333333333334,0.728252704039083,0.3333333332222222
codellama-7b,pseudo_code,all,0.8237179487179487,0.826271186440678,0.7386363636363636,0.78,0.6364816083833202,0.37272727271033057
deepseek-reasoner,assembly_code,O0,0.5115681233933161,0.46179401993355484,0.8323353293413174,0.594017094017094,0.12138952208604017,0.8526315789024931
